Statement Period,Transaction Month,Service,Country,Label,Artist,Release Title,Track Title,UPC,ISRC,Release Catalog ID,Track Catalog ID,Channel,Format,Quantity,Gross Revenue in USD,Mechanical Royalties Deducted,Contract ID,Net Revenue in USD,Your Share %,Amount Due in USD,Statement Total in USD,Opening Balance in USD,Closing Balance in USD
2026-03,2025-12,Facebook,Kuwait,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000004,0,331342,0.0000034,100,0.0000034,0.00053295,-6.77,-6.76946705
2026-03,2025-12,Facebook,United Kingdom,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.00001,0,331342,0.0000085,100,0.0000085,,,
2026-03,2025-12,Facebook,Singapore,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000005,0,331342,0.00000425,100,0.00000425,,,
2026-03,2025-12,Facebook,Brazil,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,2,0.000002,0,331342,0.0000017,100,0.0000017,,,
2026-03,2025-12,Facebook,Nigeria,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000001,0,331342,0.00000085,100,0.00000085,,,
2026-03,2025-12,Facebook,Tanzania,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,15,0.00002,0,331342,0.000017,100,0.000017,,,
2026-03,2025-12,Facebook,Zambia,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,Unmonetized,Track ,2,0,0,331342,0,100,0,,,
2026-03,2025-12,Facebook,Brazil,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000001,0,331342,0.00000085,100,0.00000085,,,
2026-03,2025-12,Facebook,Kenya,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000002,0,331342,0.0000017,100,0.0000017,,,
2026-03,2025-12,Facebook,India,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0,0,331342,0,100,0,,,
2026-03,2025-12,Facebook,Germany,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,2,0.000017,0,331342,0.00001445,100,0.00001445,,,
2026-03,2025-12,Facebook,Kenya,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,55,0.000094,0,331342,0.0000799,100,0.0000799,,,
2026-03,2025-12,Facebook,Bangladesh,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0,0,331342,0,100,0,,,
2026-03,2025-12,Facebook,Dominican Republic,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000002,0,331342,0.0000017,100,0.0000017,,,
2026-03,2025-12,Facebook,Thailand,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,3,0.000011,0,331342,0.00000935,100,0.00000935,,,
2026-03,2025-12,Facebook,Russian Federation,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,Unmonetized,Track ,1,0,0,331342,0,100,0,,,
2026-03,2025-12,Facebook,Oman,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000002,0,331342,0.0000017,100,0.0000017,,,
2026-03,2025-12,Facebook,South Africa,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000004,0,331342,0.0000034,100,0.0000034,,,
2026-03,2025-12,Facebook,Canada,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,1,0.000008,0,331342,0.0000068,100,0.0000068,,,
2026-03,2025-12,Facebook,Tunisia,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,Unmonetized,Track ,3,0,0,331342,0,100,0,,,
2026-03,2025-12,Facebook,Pakistan,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,4,0.000004,0,331342,0.0000034,100,0.0000034,,,
2026-03,2025-12,Facebook,Philippines,Alero Zona4,Alero Zona4,Fatti un giro nel quartiere,Fatti un giro nel quartiere,194152704326,QZGWX2053261,,,User Generated Content,Track ,2,0.000002,0,331342,0.0000017,100,0.0000017,,,
2026-03,2023-02,Boomplay,Nigeria,Alero,Alero,Zona 4,Zona 4,194152638027,QZGWX2038236,,,Subscription Streaming,Track ,1,0.000438,0,331342,0.0003723,100,0.0003723,,,
